1, private, regions_unexplored:alpha_grove, MONSTER, minecraft:spider, 80, 4, 4
2, private, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie, 80, 4, 4
3, private, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
4, private, regions_unexplored:alpha_grove, MONSTER, minecraft:skeleton, 80, 4, 4
5, private, regions_unexplored:alpha_grove, MONSTER, minecraft:creeper, 80, 4, 4
6, private, regions_unexplored:alpha_grove, MONSTER, minecraft:slime, 80, 4, 4
7, private, regions_unexplored:alpha_grove, MONSTER, minecraft:enderman, 10, 1, 4
8, private, regions_unexplored:alpha_grove, MONSTER, minecraft:witch, 5, 1, 1
9, private, regions_unexplored:alpha_grove, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
10, private, regions_unexplored:alpha_grove, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
11, private, regions_unexplored:alpha_grove, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
12, private, regions_unexplored:alpha_grove, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
13, private, regions_unexplored:alpha_grove, MONSTER, uselessreptile:moleclaw, 80, 1, 1
14, private, regions_unexplored:alpha_grove, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
15, private, regions_unexplored:alpha_grove, AMBIENT, minecraft:bat, 10, 8, 8
16, private, regions_unexplored:alpha_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
17, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:spider, 80, 4, 4
18, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:zombie, 19, 4, 4
19, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:zombie_villager, 5, 1, 1
20, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:skeleton, 80, 4, 4
21, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:creeper, 80, 4, 4
22, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:slime, 80, 4, 4
23, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:enderman, 10, 1, 4
24, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:witch, 5, 1, 1
25, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:husk, 80, 4, 4
26, badlands, regions_unexplored:arid_mountains, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
27, badlands, regions_unexplored:arid_mountains, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
28, badlands, regions_unexplored:arid_mountains, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
29, badlands, regions_unexplored:arid_mountains, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
30, badlands, regions_unexplored:arid_mountains, MONSTER, uselessreptile:moleclaw, 80, 1, 1
31, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:nightmare, 10, 1, 1
32, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
33, badlands, regions_unexplored:arid_mountains, CREATURE, minecraft:rabbit, 5, 2, 3
34, badlands, regions_unexplored:arid_mountains, AMBIENT, minecraft:bat, 10, 8, 8
35, badlands, regions_unexplored:arid_mountains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
36, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:spider, 80, 4, 4
37, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:zombie, 80, 4, 4
38, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
39, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:skeleton, 80, 4, 4
40, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:creeper, 80, 4, 4
41, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:slime, 80, 4, 4
42, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:enderman, 10, 1, 4
43, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:witch, 5, 1, 1
44, forest, regions_unexplored:autumnal_maple_forest, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
45, forest, regions_unexplored:autumnal_maple_forest, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
46, forest, regions_unexplored:autumnal_maple_forest, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
47, forest, regions_unexplored:autumnal_maple_forest, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
48, forest, regions_unexplored:autumnal_maple_forest, MONSTER, direbats:direbat, 36, 1, 3
49, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:ghoul, 25, 2, 5
50, forest, regions_unexplored:autumnal_maple_forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
51, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:revenant, 25, 5, 8
52, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
53, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:wolf, 5, 4, 4
54, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:sheep, 12, 4, 4
55, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:pig, 10, 4, 4
56, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:chicken, 10, 4, 4
57, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:cow, 8, 4, 4
58, forest, regions_unexplored:autumnal_maple_forest, AMBIENT, minecraft:bat, 10, 8, 8
59, forest, regions_unexplored:autumnal_maple_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
60, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
61, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 80, 4, 4
62, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
63, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
64, badlands, minecraft:badlands, MONSTER, minecraft:creeper, 80, 4, 4
65, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
66, badlands, minecraft:badlands, MONSTER, minecraft:enderman, 10, 1, 4
67, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
68, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
69, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
70, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
71, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
72, badlands, minecraft:badlands, MONSTER, uselessreptile:moleclaw, 80, 1, 1
73, badlands, minecraft:badlands, MONSTER, graveyard:nightmare, 10, 1, 1
74, badlands, minecraft:badlands, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
75, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
76, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
77, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:spider, 80, 4, 4
78, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:zombie, 80, 4, 4
79, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
80, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:skeleton, 80, 4, 4
81, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:creeper, 80, 4, 4
82, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:slime, 80, 4, 4
83, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:enderman, 10, 1, 4
84, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:witch, 5, 1, 1
85, jungle, regions_unexplored:bamboo_forest, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
86, jungle, regions_unexplored:bamboo_forest, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
87, jungle, regions_unexplored:bamboo_forest, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
88, jungle, regions_unexplored:bamboo_forest, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
89, jungle, regions_unexplored:bamboo_forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
90, jungle, regions_unexplored:bamboo_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
91, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:sheep, 12, 4, 4
92, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:pig, 10, 4, 4
93, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:chicken, 10, 4, 4
94, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:cow, 8, 4, 4
95, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:chicken, 10, 4, 4
96, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:panda, 80, 1, 2
97, jungle, regions_unexplored:bamboo_forest, AMBIENT, minecraft:bat, 10, 8, 8
98, jungle, regions_unexplored:bamboo_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
99, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 80, 4, 4
100, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 4, 4
101, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 5, 1, 1
102, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
103, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:creeper, 80, 4, 4
104, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
105, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 10, 1, 4
106, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
107, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 5, 1, 1
108, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
109, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
110, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
